[2026-06-12 15:26:33] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: True | MOVES: 31 | GAME_ID: 2250802403312 | LAST_CLICK: (569, 281) | PREVIEW: None
[2026-06-12 15:26:33] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: True | MOVES: 31 | GAME_ID: 2250802403312 | LAST_CLICK: (581, 281) | PREVIEW: None
[2026-06-12 15:42:59] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: True | MOVES: 31 | GAME_ID: 2250802403312 | LAST_CLICK: (628, 281) | PREVIEW: None
[2026-06-12 15:42:59] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802410704 | LAST_CLICK: None | PREVIEW: None
[2026-06-12 15:46:54] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802400960 | LAST_CLICK: None | PREVIEW: None
[2026-06-12 15:46:57] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802400960 | LAST_CLICK: None | PREVIEW: None
[2026-06-12 15:46:58] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802400960 | LAST_CLICK: (212, 141) | PREVIEW: (1, 2)
[2026-06-12 15:46:58] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802400960 | LAST_CLICK: (212, 141) | PREVIEW: (1, 2)
[2026-06-12 15:46:58] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 0  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: (1, 2)
[2026-06-12 15:46:58] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 1  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: None
[2026-06-12 15:46:58] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 1  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: None
[2026-06-12 15:47:10] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: None
[2026-06-12 15:47:10] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: None
[2026-06-12 15:47:21] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (209, 137) | PREVIEW: None
[2026-06-12 15:47:22] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (144, 484) | PREVIEW: (6, 1)
[2026-06-12 15:47:27] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (144, 484) | PREVIEW: (6, 1)
[2026-06-12 15:47:27] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 2  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: (6, 1)
[2026-06-12 15:47:27] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 3  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: None
[2026-06-12 15:47:27] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 3  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: None
[2026-06-12 15:47:44] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 4  | GAME_ID: 2250802400960 | LAST_CLICK: (143, 485) | PREVIEW: None
